発売年,メーカー,タイトル,ハード,ジャンル,容量(bit),価格,ジョブカテゴリ,カウント,マッパー,👥クリエイターズ👨‍💼👨‍💻🎨,👨‍💼ディレクター,👨‍💻プログラマー,🎨デザイナー/美術,🎵音楽,📝シナリオ,💼プロデューサー,
1984-01-01,ポニーキャニオン,キーストンケーパーズ,MSX,-,16K,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1985-01-01,ヤマハ,キーボードコードプログレッション1,MSX,-,不明,"￥6,500","￥6,500代",1,?,,,,,,,,
1985-01-01,ヤマハ,ギターコードマスター,MSX,-,不明,"￥6,500","￥6,500代",1,?,,,,,,,,
1987-01-01,ＨＡＬ研究所,キックイット,MSX,-,32K,"￥5,500","￥5,500代",1,Mirrored,,,,,,,,
1987-01-01,タケル／ブラザー工業,キャノンターボ,MSX,-,不明,"￥2,500","￥2,500代",1,?,,,,,,,,
1983-01-01,ハドソン,キャノンボール,MSX,-,8K,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1984-01-01,NEXA,キャプテン・コスモ,MSX,-,16K,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1984-01-01,日本コロムビア,キャプテンシェフ,MSX,-,8K,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1983-01-01,コナミ,キャベッジパッチキッズ,MSX,-,16K,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1984-01-01,ナムコ,ギャラガ,MSX,-,32K,"￥4,500","￥4,500代",1,Mirrored,,,小川徹,横山茂,大野木宜幸,,,
1984-01-01,ナムコ,ギャラクシアン,MSX,-,8K,"￥4,500","￥4,500代",1,Mirrored,,,田城幸一,澤野和則(企画)|石村繁一(基板設計)|山下正|中馬義明|小野浩,石村繁一|安江正樹|甲斐敏夫,,,
1983-01-01,アスキー,ギャング・マスター,MSX,-,16K,"￥4,800","￥5,000代",1,Basic(startat0x8000),,,,,,,,
1983-01-01,アスキー,キャンドゥーニンジャ,MSX,-,16K,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1985-01-01,ＨＡＬ研究所,キュースター,MSX,-,不明,"￥4,800","￥5,000代",1,?,,,,,,,,
1988-01-01,ゲームアーツ,ぎゅわんぶらあ自己中心派,MSX,-,2M,"￥6,800","￥7,000代",1,ASCII_8KB,,,,,,,,
1988-01-01,ゲームアーツ,ぎゅわんぶらあ自己中心派2自称!強豪雀士編,MSX2,-,2M,"￥6,800","￥7,000代",1,ASCII_8KB,,,,,,,,
1984-01-01,ナムコ,キング＆バルーン,MSX,-,32K,"￥4,500","￥4,500代",1,Mirrored,,,深谷正一,澤野和則|横山茂,徳江晶彦,,,
1986-01-01,コナミ,キングコング2甦る伝説,MSX2,-,1M,"￥5,800","￥6,000代",1,Konami48KB(noSCC),,,,,,,,
1986-01-01,スクウェア,キングスナイト,MSX,-,1M,"￥5,900","￥6,000代",1,ASCII_16KB,,,Workss,,植松伸夫,,,
1985-01-01,バンダイ,キン肉マンコロシアムデスマッチ,MSX,-,32K,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1984-01-01,アスキー,クィーンズゴルフ,MSX,-,16K,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1988-01-01,BIT2,クインプル,MSX2,-,2M,￥,￥0代,1,ASCII_8KB,,,,,,,,
1986-01-01,コナミ,グーニーズ,MSX,ACT,32K,"￥4,800","￥5,000代",1,Mirrored,,,,,デイヴ・グルーシン,クリス・コロンバス,,
1985-01-01,東芝/東芝ＥＭＩ,クエスト,MSX,-,32K,￥,￥0代,1,Mirrored,,,,,,,,
1990-01-01,コナミ,クォース,MSX2,-,1M,"￥5,800","￥6,000代",1,Konami58KB(SCC),,,WADA 891006|石田和彦,井内洋|鮫島宗治|高野泰,半澤一雄,,,
1985-01-01,ZAP,グライダー,MSX,-,16K,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1986-01-01,コナミ,グラディウス,MSX,SHT,1M,"￥4,980","￥5,000代",1,Konami48KB(noSCC),,,,,,,,
1987-01-01,コナミ,グラディウス2,MSX,SHT,1M,"￥5,800","￥6,000代",1,Konami58KB(SCC),,,,,,,,
1985-01-01,ヤマハ,グラフィックアーティスト,MSX,-,不明,"￥7,800","￥8,000代",1,?,,,,,,,,
1986-01-01,ヤマハ,グラフィックアーティストユーティリティ,MSX,-,不明,"￥7,800","￥8,000代",1,?,,,,,,,,
1985-01-01,ヤマハ,グラフィックカードセット,MSX,-,不明,"￥19,800","￥20,000代",1,?,,,,,,,,
1984-01-01,ソニー,グラフィックボール+エディー2,MSX,-,不明,"￥20,400","￥20,500代",1,?,,,,,,,,
1985-01-01,ソニー,グラフィックマスターラボ,MSX,-,不明,"￥6,800","￥7,000代",1,?,,,,,,,,
1987-01-01,スキャップアトラスト,クリムゾン,MSX2,-,2M,￥,￥0代,1,ASCII_8KB,,,,,,,,
1985-01-01,ポニーキャニオン,クルゼーダー,MSX,-,32K,"￥4,900","￥5,000代",1,Standard(startat0x4000),,,,,,,,
1983-01-01,ソニー,クレイジートレイン,MSX,-,8K,"￥4,800","￥5,000代",1,Mirrored,,,,,,#放送作品欄を参照,#放送作品欄を参照,
1988-01-01,ハート電子産業,クレイズ,MSX,-,1M,"￥5,800","￥6,000代",1,ASCII_16KB,,,,,,,,
1983-01-01,アスキー,クレージーブレット,MSX,-,16K,"￥4,800","￥5,000代",1,Basic(startat0x8000),,,,,,,,
1985-01-01,デービーソフト,クロスブレイム,MSX,-,64K,"￥5,800","￥6,000代",1,[クロスブレイム] rom,,,,,,,,
1985-01-01,コンプティーク,グロックスリベンジ,MSX,-,32K,"￥4,900","￥5,000代",1,Mirrored,,,,,,,,
1983-01-01,マスティール,クンフーマスター,MSX,-,16K,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1984-01-01,カシオ,ゲームランド,MSX,-,32K,"￥7,800","￥8,000代",1,*0,,,,,,,,
1985-01-01,カシオ,ゲームランドスペシャル,MSX,-,不明,"￥8,900","￥9,000代",1,?,,,,,,,,
1984-01-01,コナミ,けっきょく南極大冒険,MSX,-,16K,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1988-01-01,ポニーキャニオン,ケンペレンチェス,MSX2,-,1M,"￥5,500","￥5,500代",1,ASCII_16KB,,,,,,,,
1986-01-01,ソニー,コースターレース,MSX,-,32K,"￥4,900","￥5,000代",1,Mirrored,,,,,,,,
1984-01-01,ポニーキャニオン,ゴーストバスター,MSX,-,32K,￥,￥0代,1,Mirrored,,,,,,,,
1988-01-01,コナミ,ゴーファーの野望EPISODEII,MSX,-,2M,"￥5,800","￥6,000代",1,Konami58KB(SCC),,,,,,,,
1983-01-01,マジックソフト,ゴキブリ大作戦,MSX,-,16K,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1984-01-01,バンダイ,ゴジラVS3大怪獣,MSX,-,16K,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1985-01-01,東宝,ゴジラくん,MSX,-,32K,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1985-01-01,ソニー,コスモエクスプローラ,MSX,-,32K,"￥4,900","￥5,000代",1,Mirrored,,,,,,,,
1985-01-01,コナミ,コナミEC700,MSX,-,不明,"￥34,800","￥35,000代",1,?,,,,,,,,
1985-01-01,コナミ,コナミのゲームを10倍楽しむカートリッジ,MSX,-,16K,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1985-01-01,コナミ,コナミのゴルフ,MSX,-,16K,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1985-01-01,コナミ,コナミのサッカー,MSX,-,32K,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1984-01-01,カシオ,コナミのテニス,MSX,-,16K,"￥4,800","￥5,000代",1,?,,,,,,,,
1984-01-01,コナミ,コナミのテニス,MSX,-,16K,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1985-01-01,コナミ,コナミのピンポン,MSX,-,16K,"￥4,800","￥5,000代",1,Mirrored,,,AC 井上正廣,,,,,
1985-01-01,ハドソン,コナミのプーヤン,MSX,-,16K,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1984-01-01,東芝/東芝ＥＭＩ,コナミのベースボール,MSX,-,不明,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1984-01-01,コナミ,コナミのベースボール,MSX,-,16K,"￥4,800","￥5,000代",1,?,,,,,,,,
1985-01-01,コナミ,コナミのボクシング,MSX,-,32K,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1988-01-01,コナミ,コナミの新10倍カートリッジ,MSX,-,1M,"￥5,800","￥6,000代",1,[コナミの新10倍カートリッジ] rom,,,,,,,,
1984-01-01,コナミ,コナミの麻雀道場,MSX,-,32K,"￥6,000","￥6,000代",1,Mirrored,,,,,,,,
1983-01-01,アスキー,コメットテイル,MSX,-,16K,"￥4,800","￥5,000代",1,Basic(startat0x8000),,,,,,,,
1986-01-01,ポニーキャニオン,ゴルゴ13狼の巣,MSX,-,32K,￥,￥0代,1,Mirrored,,,,,,,,
1983-01-01,アスキー,ゴルフゲーム,MSX,-,16K,"￥4,800","￥5,000代",1,Basic(startat0x8000),,,,,,,,
1984-01-01,ハドソン,ゴルフ狂,MSX,-,32K,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1987-01-01,ポニーキャニオン,コロニスリフト,MSX2,-,2M,"￥5,800","￥6,000代",1,ASCII_16KB,,,,,,,,
1983-01-01,レイゾン,コンドリ,MSX,-,8K,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1984-01-01,ソニー,コンピューターオセロ,MSX,-,16K,"￥3,500","￥3,500代",1,Mirrored,,,,,,,,
1984-01-01,ソニー,コンピューターチェス,MSX,-,16K,"￥4,000","￥4,000代",1,Mirrored,,,,,,,,
1983-01-01,ソニー,コンピュータービリヤード,MSX,-,8K,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1984-01-01,ソニー,コンピュータパチンコ,不明,-,不明,￥,￥0代,1,?,,,,,,,,
1985-01-01,カシオ,コンピュータ入門,MSX,-,32K,"￥5,800","￥6,000代",1,*0,,,,,,,,
1985-01-01,三菱,コンピュー簿,MSX,-,不明,"￥6,800","￥7,000代",1,?,,,,,,,,
1988-01-01,キャンドゥ,コンポーザ・コンバータ,MSX,-,不明,"￥5,800","￥6,000代",1,?,,,,,,,,
1986-01-01,アスキー,ザ・キャッスル,MSX,-,32K,"￥5,800","￥6,000代",1,Mirrored,,,,吉田功|めるへんめーかー,,,,
1986-01-01,アスキー,ザ・キャッスルエクセレント,MSX,-,32K,"￥5,800","￥6,000代",1,Mirrored,,,,,,,,
1987-01-01,タイトー／ニデコ,ザ・コックピット,MSX2,-,1M,"￥6,800","￥7,000代",1,ASCII_16KB,,,,,,,,
1988-01-01,パック・イン・ビデオ,ザ・ゴルフ,MSX2,-,1M,"￥6,800","￥7,000代",1,?,,,,,,,,
1985-01-01,BPS／アスキー,ザ・ブラックオニキス,MSX,-,32K,"￥6,800","￥7,000代",1,ASCII_16KB,,,ボブ・ラザフォード|小林孝志|リチャード・チャールズ・ロジャース|坂本隆志,ヘンク・ブラウアー・ロジャース|ハンス・ヤンセン,,松方哲也,,
1986-01-01,BPS／アスキー,ザ・ブラックオニキスIIファイヤークリスタルを求めて,MSX,-,1M,"￥6,800","￥7,000代",1,ASCII_16KB,,,,,,,,
1983-01-01,アスキー,ザ・ブレイン,MSX,-,16K,"￥4,800","￥5,000代",1,Basic(startat0x8000),,,,,,,総勢約20名 J.U.S.T.I.C.E. リーグ(英語版)|ドレー&ヴァイダル(英語版)|ロン・フェア(英語版)|クール&ドレー|ウィル・アイ・アム|ナインス・ワンダー|ブライアン・マイケル・コックス(英語版)|ショーン・ギャレット(英語版)|デイヴェル・マッケンジー(英語版)|ロドニー・ジャーキンス|ジャム&ルイス|チャッキー・トンプソン(英語版)|ラファエル・サディーク(英語版)|D・エミール(英語版)|インフィニティ(英語版)|デイヴ・ヤング(英語版)|ボビー・ロス・アビラ|イザヤ・J. アビラ(パースペクティブ・レコード(英語版))|メアリー・J. ブライジ,
1986-01-01,ヤマハ,ザ・ペインタ,MSX,-,64K,￥,￥0代,1,?,,,,,,,有賀史英(BS朝日)|佐々木豊|山口良子|(テレビ朝日映像),
1986-01-01,チャンピオンソフト,ザ・競馬,MSX,-,32K,￥,￥0代,1,Mirrored,,,,,,,,
1984-01-01,コナミ,サーカスチャーリー,MSX,-,16K,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1984-01-01,カシオ,サーカスチャーリー,MSX,-,16K,"￥4,800","￥5,000代",1,?,,,,,,,,
1985-01-01,ソニー,サイオン,MSX,-,16K,"￥4,000","￥4,000代",1,Mirrored,,,,,,,,
1987-01-01,KGD,サイキックウォー,MSX,-,2M,"￥8,800","￥9,000代",1,ASCII_8KB+SRAM,,,青木洋,神村武|青木洋|坂本勇二,高萩英樹,青木洋(原案),神村武,
1984-01-01,タイトー／ニデコ,ザイゾログ,MSX,-,16K,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1985-01-01,ポニーキャニオン,ザクソン,MSX,-,32K,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1983-01-01,マスティール,ササ(SASA),MSX,-,16K,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1986-01-01,ポニーキャニオン,ザナックAI,MSX,-,32K,"￥4,900","￥5,000代",1,Mirrored,,,,樋上いたる|荒谷朋恵|小林明美,周防義和,中村誠,,
1986-01-01,ポニーキャニオン,ザナックEX,MSX2,-,1M,"￥5,800","￥6,000代",1,ASCII_16KB,,,,,,,,
1987-01-01,ファルコム,ザナドゥ,MSX,-,2M,"￥7,800","￥8,000代",1,ASCII_8KB+SRAM,,,,,,,,
1985-01-01,アスキー,サンダーボール,MSX,-,32K,"￥5,800","￥6,000代",1,Mirrored,,,,,,,,
1986-01-01,ピクセル,サンダーボルト,MSX,-,32K,￥,￥0代,1,Mirrored,,,,,,,,
1985-01-01,ポニーキャニオン,シーソー,MSX,-,16K,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1985-01-01,ハドソン,ジェトセットウォーリー(JetSetWilly),MSX,-,16K,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1983-01-01,ＭＩＡ,ジグソーセット,MSX,-,16K,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1985-01-01,クロスメディア,ジグソーパズル,MSX,-,不明,"￥4,800","￥5,000代",1,?,,,,,,,,
1986-01-01,日本デクスタ,シティコネクション,MSX,-,32K,"￥5,700","￥5,500代",1,Mirrored,,,,,,,,
1985-01-01,日本コロムビア,ジャイロアドベンチャー,MSX,-,不明,"￥4,800","￥5,000代",1,?,,,,,,,,
1986-01-01,タイトー／ニデコ,ジャイロダイン,MSX,-,32K,"￥4,800","￥5,000代",1,Mirrored,,,,,弓削雅稔,,,
1987-01-01,ビクター音産,シャウトマッチ,MSX,-,32K,"￥5,800","￥6,000代",1,Mirrored,,,,,,,,
1987-01-01,ハドソン,ジャガー5魔の三角地帯作戦,MSX,-,1M,"￥5,800","￥6,000代",1,ASCII_16KB,,,,,,,,
1984-01-01,日本コロムビア,ジャンプコースター,MSX,-,8K,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1984-01-01,ハドソン,ジャン狂,MSX,-,16K,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1984-01-01,東芝/東芝ＥＭＩ,ジャン狂,MSX,-,16K,"￥4,800","￥5,000代",1,?,,,,,,,,
1987-01-01,パナソフト,ジュニアメイト,MSX2,-,1M,"￥9,800","￥10,000代",1,?,,,,,,,,
1983-01-01,ソニー,ジュノファースト,MSX,-,8K,"￥4,000","￥4,000代",1,Mirrored,,,,,,,,
1985-01-01,ビクター音産,ジョイテロップ,MSX,-,32K,"￥25,000","￥25,000代",1,Mirrored,,,,,,,,
1985-01-01,ビクター音産,ジョイレター,MSX,-,不明,"￥14,800","￥15,000代",1,?,,,,,,,,
1983-01-01,クロストーク,ジョーキングマン,MSX,-,不明,"￥4,800","￥5,000代",1,?,,,,,,,,
1988-01-01,BIT2,シンセサウルス,MSX2,-,64K,"￥6,800","￥7,000代",1,Mirrored,,,,,,,,
1986-01-01,カシオ,シンドバッド7つの冒険,MSX,-,16K,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1984-01-01,タイトー／ニデコ,スイートアーコン,MSX,-,16K,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1985-01-01,東芝/東芝ＥＭＩ,すいすいローラー,MSX,-,不明,"￥4,800","￥5,000代",1,?,,,,,,,,
1984-01-01,東芝/東芝ＥＭＩ,スゥーワーサム,MSX,-,32K,"￥6,800","￥7,000代",1,Mirrored,,,,,,,,
1983-01-01,コナミ,スーパーコブラ,MSX,-,8K,"￥4,000","￥4,000代",1,Mirrored,,,,,,,,
1984-01-01,ソニー,スーパーゴルフ,MSX,-,32K,"￥6,200","￥6,000代",1,Mirrored,,,,,,,,
1985-01-01,ソニー,スーパーサッカー,MSX,-,32K,"￥4,900","￥5,000代",1,Mirrored,,,,,,,,
1984-01-01,ビクター音産,スーパーシンセ,MSX,-,16K,"￥5,800","￥6,000代",1,Mirrored,,,,,,,,
1983-01-01,ＨＡＬ研究所,スーパースネーク,MSX,-,8K,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1988-01-01,マイクロキャビン,スーパー大戦略,MSX2,-,2M,"￥8,800","￥9,000代",1,ASCII_16KB+SRAM,,,,,,,,
1984-01-01,ソニー,スーパーテニス,MSX,-,16K,"￥4,500","￥4,500代",1,Mirrored,,,,,,,,
1986-01-01,ザインソフト,スーパートリトーン,MSX2,-,1M,"￥5,900","￥6,000代",1,ASCII_8KB,,,,,,,,
1983-01-01,アスキー,スーパードリンカー(SUPERDRINKER),MSX,-,16K,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1985-01-01,日本コロムビア,スーパーパチンコ,MSX,-,16K,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1987-01-01,タイトー／ニデコ,スーパーピエロ,MSX,-,1M,"￥5,800","￥6,000代",1,[スーパーピエロ] rom,,,,,,,,
1984-01-01,ＨＡＬ研究所,スーパービリヤード,MSX,-,8K,"￥4,800","￥5,000代",1,Basic(startat0x8000),,,,,,,,
1985-01-01,エミールソフト,スーパーモニター1.1,MSX,-,不明,￥,￥0代,1,Mirrored,,,,,,,,
1985-01-01,エミールソフト,スーパーモニター1.2,MSX,-,不明,￥,￥0代,1,Mirrored,,,,,,,,
1987-01-01,ポニーキャニオン,スーパーランナー(SUPERRUNNER),MSX2,-,1M,"￥5,800","￥6,000代",1,ASCII_8KB,,,,,,,,
1986-01-01,パック・イン・ビデオ,スーパーランボースペシャル,MSX2,-,1M,"￥5,800","￥6,000代",1,ASCII_16KB,,,,,,,,
1987-01-01,T＆E SOFT,スーパーレイドックミッションストライカー,MSX,-,2M,"￥6,800","￥7,000代",1,ASCII_8KB,,,,,,,,
1980-01-01,T＆E SOFT,スーパーレイドックミッションストライカーネットワークバージョン,MSX,-,2M,"￥6,800","￥7,000代",1,?,,,,,,,,
1987-01-01,アイレム,スーパーロードランナー,MSX2,-,1M,"￥5,800","￥6,000代",1,?,,,,,,,,
1987-01-01,ポニーキャニオン,スーパーロードランナー,MSX2,-,1M,"￥5,800","￥6,000代",1,[スーパーロードランナー] rom,,,,,,,,
1985-01-01,ポニーキャニオン,ズーム909,MSX,-,32K,"￥4,900","￥5,000代",1,Mirrored,,,,,,,,
1986-01-01,東芝/東芝ＥＭＩ,スカーレット7,MSX,-,32K,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1986-01-01,マジカルズゥ,スカイギャルド,MSX,-,32K,"￥4,800","￥5,000代",1,Standard(startat0x4000),,,,,,,,
1984-01-01,コナミ,スカイジャガー,MSX,-,16K,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1984-01-01,カシオ,スキーコマンド,MSX,-,16K,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1983-01-01,シリウス,スクイッシュゼム(SQUISH'EM),MSX,-,16K,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1987-01-01,ポニーキャニオン,スクーター,MSX,-,32K,"￥4,900","￥5,000代",1,Mirrored,,,,,,,,
1984-01-01,東芝/東芝ＥＭＩ,スクエアダンサー,MSX,-,16K,"￥5,800","￥6,000代",1,Mirrored,,,,,,,,
1983-01-01,アンプルソフトウエア,スクランブルエッグ,MSX,-,8K,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1987-01-01,タイトー／ニデコ,スクランブルフォーメーション,MSX2,-,2M,"￥5,800","￥6,000代",1,ASCII_8KB,,,,佐藤浩昭,,,,
1980-01-01,アスキー,スコーピオン,不明,-,不明,￥,￥0代,1,?,,,,,,,,
1983-01-01,ソニー,スコープオン,MSX,-,16K,"￥4,800","￥5,000代",1,Basic(startat0x8000),,,,,,,,
1988-01-01,ポニーキャニオン,スターヴァージン,MSX2,-,1M,"￥5,300","￥5,500代",1,ASCII_8KB,,,,,川井憲次,大桃一郎|喰始,,
1983-01-01,アスキー,スターコマンド,MSX,-,16K,"￥4,800","￥5,000代",1,Basic(startat0x8000),,,,,,,,
1984-01-01,NEXA,スターシップシミュレータ,MSX,-,16K,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1986-01-01,ハドソン,スターソルジャー,MSX,-,32K,"￥4,800","￥5,000代",1,Mirrored,,,野沢勝広,山本次行,国本剛章,,,
1987-01-01,ジャスト,スタートラップくりいむレモン,MSX,-,32K,"￥5,800","￥6,000代",1,Mirrored,,,,,,,,
1985-01-01,ハドソン,スターフォース,MSX,-,32K,"￥4,800","￥5,000代",1,Mirrored,,,,,増子司|坂本慎一(ドライバー・効果音のみ),,,
1985-01-01,ソニー,スターブレーザー,MSX,-,16K,"￥4,000","￥4,000代",1,Mirrored,,,,岡迫亘弘|松本零士|スタジオぬえ,宮川泰,藤川桂介|田村丸|山本暎一,,
1987-01-01,ＨＡＬ研究所,ずっこけやじきた隠密道中,MSX2,-,1M,"￥5,600","￥5,500代",1,ASCII_8KB,,,,,,,,
1985-01-01,アスキー,ステッパー,MSX,-,16K,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1983-01-01,ＨＡＬ研究所,ステップアップ,MSX,-,8K,"￥4,800","￥5,000代",1,Mirrored,,,,,ミュージックビデオ 『ステップアップLOVE』 - YouTube DAOKO シングル 年表 打上花火|(2017年) ステップアップLOVE|(2017年) チャームポイント(Special Edition)|(2017年) 岡村靖幸 シングル 年表 ラブメッセージ|(2015年) ステップアップLOVE|(2017年) 少年サタデー|(2019年) 『THANK YOU BLUE』 収録曲 打上花火 ステップアップLOVE Juicy さみしいかみさま ShibuyaK BANG! ダイスキ with TeddyLoid 拝啓グッバイさようなら 同じ夜 GRY もしも僕らがGAMEの主役で ゆめみてたのあたし Cinderella step ワンルーム・シーサイド・ステップ,,岡村靖幸,
1983-01-01,東芝/東芝ＥＭＩ,ステップアップ,MSX,-,8K,"￥4,800","￥5,000代",1,?,,,,,ミュージックビデオ 『ステップアップLOVE』 - YouTube DAOKO シングル 年表 打上花火|(2017年) ステップアップLOVE|(2017年) チャームポイント(Special Edition)|(2017年) 岡村靖幸 シングル 年表 ラブメッセージ|(2015年) ステップアップLOVE|(2017年) 少年サタデー|(2019年) 『THANK YOU BLUE』 収録曲 打上花火 ステップアップLOVE Juicy さみしいかみさま ShibuyaK BANG! ダイスキ with TeddyLoid 拝啓グッバイさようなら 同じ夜 GRY もしも僕らがGAMEの主役で ゆめみてたのあたし Cinderella step ワンルーム・シーサイド・ステップ,,岡村靖幸,
1987-01-01,日本デクスタ,ストレンジループ,MSX,-,32K,"￥5,700","￥5,500代",1,Mirrored,,,,,,コラード・ボッチア,,
1986-01-01,ＨＡＬ研究所,スネイクイット,MSX,-,32K,"￥5,500","￥5,500代",1,Mirrored,,,,,,,,
1983-01-01,ソニー,スパーキー,MSX,-,8K,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1984-01-01,タイトー／ニデコ,スペースインベーダー,MSX,-,16K,"￥4,800","￥5,000代",1,Mirrored,,,西角友宏,西角友宏,亀井道行,,,
1986-01-01,パック・イン・ビデオ,スペースキャンプ,MSX,-,32K,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1988-01-01,ポニーキャニオン,スペースシャトル,MSX,-,不明,"￥4,900","￥5,000代",1,?,,,,,,,,
1984-01-01,ＨＡＬ研究所,スペーストラブル,MSX,-,8K,"￥4,800","￥5,000代",1,Mirrored,,,,ケン・トンプソン,,,,
1989-01-01,コナミ,スペースマンボウ,MSX2/2+,-,2M,"￥6,800","￥7,000代",1,Konami58KB(SCC),,,,,,,,
1983-01-01,ＨＡＬ研究所,スペースメイズアタック,MSX,-,8K,"￥4,800","￥5,000代",1,*0,,,,,,,,
1986-01-01,カシオ,スペランカー,MSX,-,32K,"￥4,900","￥5,000代",1,?,,,,ティム・マーティン,,,,
1986-01-01,アイレム,スペランカー,MSX,-,32K,"￥4,900","￥5,000代",1,Mirrored,,,,ティム・マーティン,,,,
1985-01-01,カシオ,ゼクサスリミテッド,MSX,-,32K,"￥5,800","￥6,000代",1,?,,,,,,,,
1985-01-01,デービーソフト,ゼクサスリミテッド,MSX,-,32K,"￥5,800","￥6,000代",1,Mirrored,,,,,,,,
1989-01-01,ナムコ,ゼビウスファードラウト伝説,MSX2,-,2M,"￥6,800","￥7,000代",1,ASCII_16KB,,仁井谷正充,國廣豊史,河野光|JANUS寺本|國廣豊史|NIPPON CHACHACHA,宮本昌知,,河野光,
1988-01-01,マイコンソフト,センサーキッド,MSX2,-,不明,"￥6,800","￥7,000代",1,?,,,,,,,,
1984-01-01,ポニーキャニオン,ゼンジー,MSX,-,16K,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1984-01-01,ソニー,センジョー,MSX,-,16K,"￥4,000","￥4,000代",1,Mirrored,,,,,,,,
1988-01-01,東芝/東芝ＥＭＩ,ゾイド中央大陸の戦い,MSX2,-,1M,"￥5,800","￥6,000代",1,ASCII_16KB,,,,,,,,
1987-01-01,電波新聞社,ソフィア,MSX,-,64K,"￥5,300","￥5,500代",1,ASCII_8KB,,,,,,,,
1984-01-01,東芝/東芝ＥＭＩ,ゾルニエクセリオン2(ZorniExerion2),MSX,-,16K,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1989-01-01,ハイスコア,ゾンビハンター,MSX2,-,1M,"￥5,800","￥6,000代",1,ASCII_8KB,,,,,,,,
1987-01-01,ハドソン,ダーウィン4078,MSX2,-,1M,"￥5,800","￥6,000代",1,ASCII_8KB,,,,古川とも,,,,
1983-01-01,マスティール,ターボート,MSX,-,16K,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1983-01-01,シリウス,ターモイル(TURMOIL),MSX,-,16K,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1988-01-01,東芝/東芝ＥＭＩ,ダイナマイトボウル,MSX,-,1M,"￥5,800","￥6,000代",1,ASCII_16KB,,,,,,,,
1988-01-01,東芝/東芝ＥＭＩ,ダイナマイトボウル,MSX2,-,1M,￥,￥0代,1,ASCII_16KB,,,,,,,,
1983-01-01,コナミ,タイムパイロット(TIMEPILOT),MSX,-,16K,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1987-01-01,ブラザー工業,タケル伝説,MSX,-,32K,"￥2,500","￥2,500代",1,Mirrored,,,,,,,,
1984-01-01,マスティール,タティカ,MSX,-,16K,"￥4,800","￥5,000代",1,Mirrored,,,,伊藤岳史|高倉武史,七瀬光,兵頭一歩,,
1984-01-01,アスキー,ダビデ2,MSX,-,16K,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
